cant.mtx,CSR,32,0.000041188,0.000000000,194.5921,1203.9428,1.830217e-10
cant.mtx,CSR,64,0.000054681,0.000000000,146.5724,906.8445,1.768525e-10
cant.mtx,CSR,128,0.000105265,0.000000000,76.1392,471.0739,1.769595e-10
cant.mtx,CSR,256,0.000221805,0.000000000,36.1342,223.5627,1.769595e-10
cant.mtx,ELL,32,0.000040409,0.000000000,198.3429,1227.1489,1.830217e-10
cant.mtx,ELL,64,0.000054608,0.000000000,146.7691,908.0614,1.768525e-10
cant.mtx,ELL,128,0.000105278,0.000000000,76.1297,471.0152,1.769595e-10
cant.mtx,ELL,256,0.000221420,0.000000000,36.1972,223.9523,1.769595e-10
cant.mtx,SELL-C-Sigma,32,0.000020857,0.000000000,384.2730,2377.4999,1.195589e-10
cant.mtx,CSR5,32,0.000118784,0.000000000,67.4734,417.4587,7.723135e-11
