plsk1919.mtx,CSR,32,0.000008274,0.000000000,1.1678,12.5730,5.660864e-16
plsk1919.mtx,CSR,64,0.000007364,0.000000000,1.3121,14.1275,5.660864e-16
plsk1919.mtx,CSR,128,0.000008947,0.000000000,1.0799,11.6269,5.660864e-16
plsk1919.mtx,CSR,256,0.000012817,0.000000000,0.7538,8.1164,5.660864e-16
plsk1919.mtx,ELL,32,0.000007370,0.000000000,1.3109,14.1146,5.660864e-16
plsk1919.mtx,ELL,64,0.000007157,0.000000000,1.3500,14.5349,5.660864e-16
plsk1919.mtx,ELL,128,0.000009042,0.000000000,1.0686,11.5051,5.660864e-16
plsk1919.mtx,ELL,256,0.000012831,0.000000000,0.7530,8.1075,5.660864e-16
plsk1919.mtx,SELL-C-Sigma,32,0.000006892,0.000000000,1.4020,15.0951,4.532082e-16
plsk1919.mtx,CSR5,32,0.000007072,0.000000000,1.3662,14.7098,3.103168e-17
