cant.mtx,CSR,32,0.000041201,0.000000000,194.5301,1203.5595,1.830217e-10
cant.mtx,CSR,64,0.000054672,0.000000000,146.5964,906.9931,1.768525e-10
cant.mtx,CSR,128,0.000105471,0.000000000,75.9902,470.1520,1.769595e-10
cant.mtx,CSR,256,0.000222070,0.000000000,36.0911,223.2959,1.769595e-10
cant.mtx,ELL,32,0.000040525,0.000000000,197.7712,1223.6121,1.830217e-10
cant.mtx,ELL,64,0.000054816,0.000000000,146.2130,904.6211,1.768525e-10
cant.mtx,ELL,128,0.000105241,0.000000000,76.1563,471.1799,1.769595e-10
cant.mtx,ELL,256,0.000221653,0.000000000,36.1590,223.7163,1.769595e-10
cant.mtx,SELL-C-Sigma,32,0.000020770,0.000000000,385.8833,2387.4632,1.195589e-10
cant.mtx,CSR5,32,0.000116736,0.000000000,68.6572,424.7826,7.723671e-11
