e40r5000.mtx,CSR,32,0.000016557,0.000000000,66.9145,426.5365,1.894034e-13
e40r5000.mtx,CSR,64,0.000018630,0.000000000,59.4700,379.0825,1.895257e-13
e40r5000.mtx,CSR,128,0.000032802,0.000000000,33.7758,215.2989,1.895257e-13
e40r5000.mtx,CSR,256,0.000065397,0.000000000,16.9414,107.9902,1.895257e-13
e40r5000.mtx,ELL,32,0.000015756,0.000000000,70.3147,448.2102,1.894034e-13
e40r5000.mtx,ELL,64,0.000018624,0.000000000,59.4884,379.1997,1.895257e-13
e40r5000.mtx,ELL,128,0.000032718,0.000000000,33.8620,215.8484,1.895257e-13
e40r5000.mtx,ELL,256,0.000065191,0.000000000,16.9949,108.3311,1.895257e-13
e40r5000.mtx,SELL-C-Sigma,32,0.000013671,0.000000000,81.0427,516.5943,1.260064e-13
e40r5000.mtx,CSR5,32,0.000013312,0.000000000,83.2266,530.5150,4.803611e-14
